"#","Country/Territory","Production (Tons)","Per Capita (Kg)"
"1","Brazil","3,172,562","15.03"
"2","Viet Nam","1,953,990","19.47"
"3","Indonesia","794,762","2.83"
"4","Colombia","665,016","12.71"
"5","Ethiopia","496,200","3.76"
"6","Uganda","393,900","8.10"
"7","Peru","352,645","10.36"
"8","India","338,619","0.24"
"9","Honduras","315,490","30.69"
"10","Central African Republic","306,901","56.27"
"11","Guinea","261,645","18.60"
"12","Guatemala","225,500","11.76"
"13","Mexico","181,706","1.40"
"14","Laos","171,000","22.07"
"15","Nicaragua","170,181","24.31"
"16","China","108,886","0.08"
"17","Costa Rica","79,200","14.72"
"18","Ivory Coast","70,000","2.44"
"19","Tanzania","67,200","1.01"
"20","DR congo","58,837","0.56"
"21","Philippines","58,285","0.51"
"22","Venezuela","57,177","1.98"
"23","Kenya","51,900","0.92"
"24","Madagascar","50,316","1.58"
"25","Papua New Guinea","40,800","4.21"